id;name;vehicle_id;type;class_of_vehicle;type_of_body;colour;number_of_cylinders;engine_number;horse_power;cubic_capacity;no_of_standee;unladen_weight;prev_regn_no;makers_name;makers_country;years_of_manufacture;chassis_number;fuel_used;rpm;seats;wheel_base;max_laden
1;SMS Program;24/7 Vision-oriented connecting;TRAILER;backing up Garden Creative;Awesome Rubber Chicken panel;SILVER;ONE;Consultant;40677;61627;Coves JSON Beauty;68411;Auto Loan Account Intranet generating;Mills Intelligent;Group Kentucky Utah;7537;wireless navigating Pataca;PETROL;87633;91181;88414;56539
2;Representative Arkansas Brand;zero defect;VEHICLE;definition Future Chad;Practical Frozen Mouse yellow;BLUE;FIVE;green;27238;86355;Functionality Tasty Dynamic;13420;Expanded Colombian Peso Unidad de Valor Real;Ireland synthesizing red;Creative;99983;Knoll generate Cloned;PETROL;91775;58479;58565;80905
3;drive;quantify;TRAILER;International;Orchard;WHITE;FOUR;invoice Soap;86756;73669;compress;73598;Unbranded Cotton Chair;Practical Cotton Bacon;target;61755;haptic Specialist;OCTANE;21870;46028;66436;9105
4;Uruguay navigate;invoice Fantastic Frozen Tuna calculating;TRAILER;Licensed recontextualize Chair;Handmade Extended index;BLUE;THREE;Investment Account;38192;99814;Wooden Agent;15984;Assistant Falkland Islands (Malvinas);panel Metical;bluetooth;64559;lime Bike;PETROL;93278;62288;94176;42900
5;Electronics Yuan Renminbi Oman;invoice deliverables;TRAILER;transmit Buckinghamshire;Pizza;BLACK;ONE;Accountability;43283;55883;SCSI;73096;Granite EXE Plastic;payment;compressing Syrian Pound holistic;6589;Shirt;PETROL;7375;18555;25390;47200
6;Berkshire;data-warehouse;TRAILER;withdrawal deposit Lebanese Pound;system-worthy;RED;FIVE;Coordinator Synchronised;6389;50763;iterate SSL;29908;Home Loan Account;Fresh Tasty Florida;transmitting Borders;39505;hard drive;OCTANE;85567;24463;67745;31830
7;Fresh azure Falkland Islands Pound;e-tailers Investment Account;VEHICLE;Concrete Keyboard;mission-critical Ergonomic Frozen Table;BLUE;THREE;silver Shoes Handcrafted Steel Pizza;89816;1667;synthesize Northern Mariana Islands;63152;Buckinghamshire California;Practical infrastructures;JSON;10666;mint green;OCTANE;79164;28316;13880;68070
8;Bolivar Fuerte transmitting;Ecuador Fundamental overriding;TRAILER;Plastic Intelligent Metal;Incredible Granite Chair Missouri;BLACK;TWO;Rubber Computer Customer;80562;17346;generate;61654;Brand;contextually-based alliance;SCSI;70678;Cambridgeshire next-generation;OCTANE;97618;31754;2090;40940
9;syndicate navigate;Personal Loan Account RSS International;TRAILER;Assistant actuating;groupware backing up;BLACK;ONE;Home Loan Account;75791;39919;Practical Bouvet Island (Bouvetoya);95069;integrate hard drive Lead;Maryland Wooden;Tasty Chicken transition;30494;Global;DIESEL;13494;30768;53028;15110
10;Lilangeni methodology Belize;National;TRAILER;Games;Chief Industrial index;GREEN;THREE;protocol GB;91349;43480;Keyboard;1231;connecting Regional Harbor;homogeneous France;Soap Operative;98111;Arizona;OCTANE;32524;83515;23084;95600
